word,meaning
blow over,〈悪い事態などが〉解消される、収まる
shove aside,～を脇に押しやる、無視する
attend to ～,①〈客〉の相手をする、②〈仕事・問題など〉を扱う、処理する
back down,①引き下がる、後退する、②（言ったことを）取り消す、撤回する
pull through,健康を回復する、何とか持ち直す
stand down,職［地位］から身を引く
give off,〈におい・気体・熱など〉を発する、出す
play up,～を（大げさに）強調する、誇張する（≒overplay）（⇔play down、downplay）
do away with ～,①（規則など）を廃止する（≒abolish）、②（不要なもの）を始末する
take on,①（人）を雇う、採用する、②〈仕事・責任〉を引き受ける、③〈様相など〉を帯びる、呈する
hand off,～を手渡す、引き渡す
bank on ～,～を当てにする、～に頼る（≒count on ～）
make out,①～が何とかわかる、～を何とか理解する、②〈書類など〉を（正式に）作成する、書く
call on ～,〈人〉を訪問する
sink in,①（言葉・ことなどが）十分理解される、②（液体が）染み込む
brush off,～を拒絶する、はねつける
get away with ～,①（悪いこと）をして無事に逃れる、②～を持ち逃げする
back up,①～を支持する、支援する、②後退する、③（データなど）のバックアップをとる
draw up,①（文書など）を作成する、②（車が）止まる
roll up,（そで・裾など）をまくる（⇔roll down）
run through ～,①（本・提案など）をざっと調べる、目を通す、②～のリハーサルをする
build up,①～を発達させる、増やす、②増大する
turn down,（音量・火力など）を小さくする、弱める（⇔turn up）
let down,〈人〉を失望させる、〈人〉の期待を裏切る
count on ～,～を当てにする、期待する、～に頼る（≒bank on ～）
get by,①何とか生活する、②（代用品などで）間に合わせる
lay off,（不況などで）〈人〉を解雇する
opt for ～,～を選択する、選ぶ
wear off,〈痛み・効果・感情などが〉薄れる、次第に消える
wash away,①〈雨などが〉～を押し流す、洗い流す、②～を水で洗い落とす
give in,①（要求などに）屈する、折れる（≒yield）、②～を提出する、渡す
make over,①～を作り変える、作り直す、②〈土地・財産など〉を譲り渡す
sign out,〈本など〉を署名して借り出す
wave off,（手を振って）〈考え・申し出など〉を拒む、退ける
try out,〈人・方法・装置など〉を（機能するか）テストする
stumble on ～,〈もの・人など〉に偶然出くわす（stumble across ～とも言う）
talk up,〈人・もの〉を実際よりよいように説明する（⇔talk down）
scoop up,～をすくい取る、すくい上げる
go through with ～,〈難しい計画・約束など〉を遂行する
pick over,（数あるものの中から）～を丹念に選ぶ
scale down,〈事物の規模・程度〉を縮小する（⇔scale up）
lift off,〈飛行機・ロケットなどが〉離陸する、打ち上げられる
hold down,①〈人〉を押さえつける、②〈物価など〉を抑える、③（仕事）を続ける
clean out,〈部屋など〉の中をきれいにする、～をからにする
air out,①（部屋など）を換気する、②〈衣類・寝具など〉を外気に当てる、干す
look out for ～,～に気をつける、注意する
grow into ～,①成長して～になる、②〈子どもが〉成長して〈服〉が着られるようになる
close in,①近づいてくる、迫ってくる、②（天候が）悪くなる
step up,①～を強化する、②上がる、上る
cut in,（会話などに）口をはさむ、割って入る（≒interrupt）
look down on ～,〈人〉を見下す、さげすむ（⇔look up to ～）
pass out,①気絶する、意識を失う（≒faint）、②～を配る
slip on,〈服〉をさっと着る、〈靴〉をさっと履く（⇔slip off）
play out,〈出来事などが〉展開する；～を展開する
pull back,①手を引く、撤退する、②〈軍隊〉を後退［撤退］させる
skim over,（要点をつかむために）～にざっと目を通す
tell on ～,〈人のこと〉を言いふらす、告げ口する
smooth over,（言い争いなど）を丸く収める
pack up,〈もの〉をかばんに詰める
tuck in,（シーツなどで）〈子どもなど〉を心地よくくるむ
wash down,①〈大きなもの〉を洗い流す、②〈食べ物・薬など〉を飲み下す、流し込む
go under,①〈会社などが〉倒産する、②沈没する、沈む
turn over,①～を熟考する、じっくり考える、②～をひっくり返す、裏返す
tip over,倒れる、ひっくり返る；～をひっくり返す
press for ～,～を強く求める、迫る
stand over ～,〈人〉を（そばで）監視する
touch up,～を手直しして改良する
get in on ～,〈活動など〉に加わる、〈市場〉に参入する
put through,〈電話・人〉を（相手に）つなぐ
shut out,①（光・音・景色など）を遮る、②（場所・活動などから）〈人〉を締め出す
face off,対決する（▶アメリカ英語）
pick through ～,〈場所など〉を探す
drive off,〈敵など〉を追い払う
pass for ～,～で通用する、～として通る
hold over,〈決定など〉を持ち越す、先送りにする
run down,①〈車・運転手が〉〈人・動物など〉をはねる、②〈考え・人など〉をこき下ろす、けなす、③〈機械などが〉止まる、〈電池が〉切れる
slip by,〈時間などが〉いつの間にか過ぎる
put up with ～,～を耐える、我慢する（≒bear）
pin down,①〈事実・原因など〉を知る、突き止める、②〈人〉を組み伏せる、押さえつける
rub in,①〈人の嫌がること〉を繰り返し言う、②～をすり込む
clear out,〈家・部屋など〉を（不用品を片づけて）きれいにする
doze off,うたた寝する、まどろむ（≒nod off）
take up,①（趣味として）～を始める、②（話題・問題など）を取り上げる、③〈時間・場所〉を占める、使う（③の意味ではtake up ～）
drive out,〈人・もの〉を追い出す、駆逐する
set up,①〈組織・制度など〉を設立する、②〈機械など〉を設定する、準備する、③～をわなにはめる、陥れる
act up,①〈病気・症状などが〉ぶり返す、再発する、②〈機械などが〉不調である、③〈子どもが〉いたずらをする
run out,〈時間・金・忍耐などが〉尽きる、なくなる
single out,～を選び出す
break up,①〈関係・愛情などが〉終わる、〈恋人などと〉別れる、②〈集会など〉を解散させる、③～をばらばらにする
deal in ～,①〈商品〉を扱う、商う、②〈問題など〉を扱う
break out,〈火事・戦争・伝染病などが〉急に始まる、勃発する
water down,～の内容を薄める、～に手を加える
pass on,①～を渡す、伝える、②（病気など）をうつす
fall apart,①（古さ・ずさんな作りのために）ばらばらになる、②（組織・制度などが）崩壊する
settle in,（新しい家・仕事・環境などに）落ち着く、慣れる
step out,（建物などを）出る、（乗り物から）降りる
mark down,①～を値下げする（⇔mark up）、②（記録として）～を書き留める
break in on ～,〈会話〉に口をはさむ、割り込む（break in〈建物に押し入る〉も覚えておく）
sit in on ～,〈会議・授業など〉を傍聴［聴講］する
buy up,〈土地など〉を買い占める
size up,〈人・価格・情勢など〉を判断する、見極める
let off,①～を罰しない、釈放する、②（銃）を発砲する、（爆弾）を爆発させる
mark out,①～を区切る、②～を目立たせる
feed off ～,～を食料にする、糧にする（feed on ～とも言う）
flag down,〈タクシーなど〉を手を挙げて止める
rise above ～,①〈困難など〉を克服する、②（賢明にも）〈侮辱・ゴシップなど〉を気に留めない
figure on ～,～を想定する、見込む
hold up,（よい状態で）続く、持ちこたえる
tell off,①（人）を叱る、②（人）にどなる（②はアメリカ英語）
live down,〈自分の愚行・恥など〉を忘れる（ふつう否定文で使う）
feel out,〈状況・人の意向など〉を探る、知ろうとする
hammer out,（徹底的に検討して）〈結果・政策など〉を考え出す
throw off,①（服など）を脱ぎ捨てる、②（束縛・習慣など）を振り捨てる
pass over,（人）を（昇進などの候補から）外す
pull up,①（運転手が）車を止める、②（いす）を引く、寄せる
pass down,（知識など）を伝える
come by ～,①（偶然・運よく）～を手に入れる（≒obtain）、②～に立ち寄る
take to ～,①～が好きになる、②～するようになる
head off,①～を阻止する、阻む、②（ある方向に）進む、向かう
cough up,〈金など〉をしぶしぶ出す
stop over,（旅行の途中などに）立ち寄る、一時滞在する（stop offとも言う）
drive up,〈価格・費用など〉を押し上げる、つり上げる
follow up,①追跡調査をする、②～のあとに行う、～に追い打ちをかける
level off,①成長が止まる、〈発展中のものが〉伸びが弱まる、②水平飛行に移る
deal out,～を分配する（≒distribute）
stick by ～,①（困っている人）を支援し続ける、②（決意・約束など）を実行する
show up,現れる、来る
write back,（手紙で）返事を書く
stack up,①〈車が〉渋滞する；〈ものが〉増え続ける、②比べられる、匹敵する
tuck away,①〈金など〉をしまい込む、②［be tucked away］隠れている、奥まったところにある
crack up,①〈人〉を大笑いさせる；大笑いする、②〈車・飛行機などが〉大破する；～を大破させる
rip off,①～をはぎ取る、②〈人〉をだまして売りつける、〈人〉からぼったくる
scratch out,（名前など）を線を引いて消す、抹消する
whip up,①〈感情・興味など〉をかき立てる、②〈ほこり・しぶきなど〉を舞い上げる
rack up,〈人・会社などが〉〈利益・得点など〉を得る、積み重ねる
shove off,①離れる、出ていく（俗に粗野な「失せろ」の意）、②船を押し出す
bottom out,〈景気・相場などが〉底をつく
nod off,うとうとする、居眠りする（≒doze off）
send for ～,①～を注文する、取り寄せる、②〈人〉を呼びに行かせる
stay off ～,①〈体によくないもの〉を食べない、飲まない、②〈話題〉を避ける
act out,（過去の出来事など）を演じてみせる
fix up,①（家など）を修理［改装］する、②（人）に（～を）提供する
carry through,①（約束など）を実行する、②（始めたことなど）をうまくやり遂げる（≒achieve）
roll in,①（お金・手紙・ものが）大量にやって来る、②（悪びれることなく）遅れて到着する、③（雲などが）広がり始める
answer for ～,①（過失・行為）の責任を取る、②（人・人格など）を保証する
stand up to ～,①（人・組織など）に恐れずに立ち向かう、②（物質・製品などが）～に耐える、もつ
free up,①（時間・空間）を空ける、②（市場・経済など）を解放する
weigh on ～,〈問題・責任などが〉～にのしかかる、～を圧迫する
tie up,①〈もの〉をしっかりくくる；〈船〉を係留する、②〈人〉を縛り上げる、③［be tied up］〈人が〉忙しい
grow on ～,〈人〉の心を引くようになる
let out,①～を外に出す、②〈叫び声など〉を発する、③〈学校などが〉終わる
lock A in B,AをBに閉じ込める
watch over ～,〈人・動物など〉を見守る、監視する
blast off,〈ロケットなどが〉発進する（≒lift off、take off）
go back on ～,〈約束・協定など〉を破る
lay into ～,〈人〉を非難する、殴打する
force down,①〈飲食物〉を無理やり飲み込む、②〈飛行機〉を緊急着陸させる
bring off,〈難しいこと〉をうまく成し遂げる（≒pull off）
pile up,〈ものが〉積もる、たまる
ease into ～,〈仕事など〉に徐々に慣れる
break off,①急に話をやめる、②〈ものの一部が〉（折れて・欠けて）取れる
hang on ～,～次第である、～にかかっている（目的語なしで「しっかりつかまる」「苦境を持ちこたえる」等の用法も）
fall under ～,～の分類に入る
send out for ～,～の出前を頼む
fire up,［be fired up］気合が入っている、張り切っている
check off,～にチェック済みの印をつける
gear up,準備をする
derive from ～,～に由来する、～から派生する
dream up,〈（ばかげた）計画・考えなど〉を思いつく
carry over,持ち越される、残存する；～を持ち越す
get on with ～,①〈中断していたこと〉を続ける、②〈仕事など〉をうまくこなす
turn to ～,①〈助けなどを求めて〉～を頼る、～に救いを求める、②〈新しい仕事・習慣〉を始める
make do with ～,～で間に合わせる
kick in,効果が出始める
pitch in,協力する、援助する
